region,transect,plot,sample,site,soil_type,Na,Mg,Al,Si,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
vh,vhc,vhc5,vc_vh_c5_2,TBC5,GbB,397.11525,15021.37793,2.813326125,129243.111,8743.86899,9018.66114,3727.20796,1193.90495,4099.712,329.8788611,74.44504405,1010.002185,31412.24317,24.9120017,61.61037499,296.4571682,259.1104945
vh,vhc,vhc7,vc_vh_c7,TBC7,GbB,518.48239,13072.50763,3.082117551,170310.6361,7745.14139,9682.89947,4005.28861,1381.46924,4373.41002,150.1006159,58.19684312,1463.050711,28588.55174,24.95027107,48.00994978,150.8470772,237.2988526
vh,vhc,vhc7,vc_vh_c7_1,TBC7,GbB,1139.73548,12337.4048,3.087777954,146785.804,8001.02035,9314.24859,3578.29937,1298.944536,4394.28345,257.343799,49.30029603,2006.082905,31984.35136,27.69919975,55.47204856,209.8133699,251.7421601
vh,vhc,vhc7,vc_vh_c7_2,TBC7,GbB,416.50938,13232.03999,3.520479164,172745.8532,7812.57063,9729.62701,3849.05899,780.5177854,4674.18087,233.1417177,54.7469388,1474.367332,30416.14936,25.75411142,52.78911696,147.6497809,242.5224425
vh,vhc,vhc9,vc_vh_c9,TBC9,GbB,667.10351,13587.97502,2.719029646,147634.5643,7893.82407,9081.93327,3158.05108,1068.081461,3775.74774,135.9780643,53.96555218,1844.297212,24830.54091,24.11346722,38.74529176,118.7757847,245.2396944
vh,vhc,vhc9,vc_vh_c9_1,TBC9,GbB,-157.51477,17413.69802,2.161010483,119034.8088,7764.89583,7323.58083,1808.93088,841.6233954,3362.93971,97.32251747,35.69130378,1445.153301,21302.89819,23.23882215,29.48398172,49.08083305,241.8018065
vh,vhc,vhc9,vc_vh_c9_2,TBC9,GbB,281.16678,14823.50234,2.681066019,144926.1142,7782.8163,8535.51462,2925.00784,1083.032299,3637.69592,91.99174571,44.45236864,1746.150729,23448.68021,24.28591585,34.60079333,108.2312117,228.2761444
tb,tba,tba1,vc_tb_a1_1,NWFA1,MuA,1778.8639,10130.88821,3.251278153,173651.9689,7877.21276,13893.45617,7299.75034,1145.481632,5058.3398,205.5720433,62.86593066,2492.907986,54033.11827,39.35065458,65.24563072,165.1692717,339.1499416
tb,tba,tba1,vc_tb_a1_2,NWFA1,MuA,1497.7921,10428.20094,3.263049668,179296.6117,7811.92764,13938.78277,7450.16231,1252.652606,5157.51654,196.9661577,64.78697758,2376.017267,52662.91796,39.43123457,75.14070233,196.76133,335.819296
tb,tba,tba1,vc_tb_a1_3,NWFA1,MuA,1694.18129,9486.13889,3.712570891,198509.22,7758.38469,14846.34561,8246.14194,1547.855397,5391.26326,206.4401685,67.55558346,2636.067973,54920.52029,37.81943151,84.72704801,202.8382239,350.7539986
tb,tba,tba3,vc_tb_a3_1,NWFA3,MuA,1708.38001,10025.65666,3.2203547,182284.9487,7624.70232,14063.59436,9285.45323,1178.01526,4349.72722,96.16404092,74.47258994,1074.698503,38830.09051,30.55776576,49.50662569,137.505623,347.7813931
tb,tba,tba3,vc_tb_a3_2,NWFA3,MuA,1992.95856,9702.74886,3.033635298,177395.6491,7832.99375,13385.49093,9768.98368,1094.428593,4603.45806,178.3406278,63.53865527,1304.936544,41911.61584,31.61494576,51.8126271,159.8560016,345.3248692
tb,tba,tba3,vc_tb_a3_3,NWFA3,MuA,2625.54024,8205.81363,3.75117107,207379.6109,7690.61012,15535.82572,11319.66931,1500.627129,5202.20053,154.4095338,69.5357982,1920.111821,46182.53406,33.7948369,78.80066023,181.7556207,357.1055709
tb,tba,tba5,vc_tb_a5_1,NWFA5,MuA,1825.819,9562.30238,3.601150457,190820.3585,7544.4831,14249.14916,5566.80227,1088.31515,5134.55459,171.7639097,77.0123118,1189.653033,43424.60181,32.47262686,58.22613261,130.2579048,270.9978472
tb,tba,tba5,vc_tb_a5_2,NWFA5,MuA,2218.02179,8538.52808,3.673828296,211276.829,7600.64547,14932.5139,7616.82753,1401.312013,5315.65438,170.8024907,76.70074046,1267.377268,43803.02006,31.76913542,73.50385595,162.0925717,279.4340186
tb,tba,tba5,vc_tb_a5_3,NWFA5,MuA,1454.6854,10094.2133,3.105964037,195468.8896,7443.84611,13110.64585,6241.39189,860.1930267,4690.83336,91.85418863,69.32970686,734.1369804,32747.81171,26.94617972,40.91411542,121.3730235,242.6691245
tb,tba,tba7,vc_tb_a7_1,NWFA7,MuA,1437.34793,10731.82141,3.014721447,175984.8489,7585.53331,13583.4851,8768.1173,887.5275793,4547.51109,156.3169001,68.58301943,1049.712414,38743.61013,30.62669888,59.03387154,123.9416394,313.3758624
tb,tba,tba7,vc_tb_a7_2,NWFA7,MuA,1912.19004,10026.43809,2.938091267,170675.0503,7631.25361,13831.53651,9701.412,1200.591735,4455.06221,137.54236,66.77116394,1056.640917,39096.17964,31.24802575,52.95894855,131.7829805,322.3415152
tb,tba,tba7,vc_tb_a7_3,NWFA7,MuA,2010.78795,9667.6221,2.974734552,179081.1293,7586.18467,13490.64165,8789.15358,967.0772899,4196.47728,107.0290436,70.04893213,1006.401829,36717.35847,28.38258476,48.86033009,116.041698,295.5842341
tb,tba,tba9,vc_tb_a9_1,NWFA9,MuA,1397.86972,10148.7109,3.100047874,195453.1379,7328.08808,12189.51481,9684.43913,825.569711,4182.17039,70.82716044,66.75911193,844.0490824,26814.88999,20.79043931,50.96250712,113.4119323,283.7810587
